"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,491255908,522784,6175358,1440,426134284.0,510572.0,58946266.0,56056,63024.0,792.2,0,0,,All
USA,81826371,0,1008159,0,65525974.0,0.0,15292238.0,1889,244700.0,3015.0,984909365,2945344,334395303,North America
India,43028131,0,521374,0,42493773.0,0.0,12984.0,8944,30653.0,371.0,790764883,563336,1403717340,Asia
Brazil,29995638,0,660192,0,28758676.0,0.0,576770.0,8318,139385.0,3068.0,63776166,296357,215200379,South America
France,25895586,0,142475,0,23371669.0,0.0,2381442.0,1486,395196.0,2174.0,254106036,3877944,65525975,Europe
Germany,21588614,0,130529,0,16972700.0,86500.0,4485385.0,2494,256238.0,1549.0,104701826,1242719,84252217,Europe
UK,21216874,0,165570,0,19075703.0,0.0,1975601.0,356,309693.0,2417.0,505708151,7381596,68509327,Europe
Russia,17896866,16828,369708,304,16965027.0,35695.0,562131.0,2300,122544.0,2531.0,273400000,1872041,146043840,Europe
Turkey,14894731,9021,98157,38,14570521.0,10312.0,226053.0,975,173345.0,1142.0,154495767,1798027,85925166,Asia
Italy,14845815,53588,159784,118,13402015.0,48486.0,1284016.0,489,246173.0,2650.0,202264141,3353940,60306427,Europe
S. Korea,13874216,234301,17235,306,,,,1128,270209.0,336.0,15804065,307794,51346309,Asia
Spain,11551574,0,102541,0,10918903.0,0.0,530130.0,420,246900.0,2192.0,471036328,10067798,46786432,Europe
Vietnam,9716282,0,42563,0,7713354.0,0.0,1960365.0,2276,98274.0,430.0,84490344,854566,98869321,Asia
Argentina,9040640,0,128059,0,8866417.0,0.0,46164.0,487,196875.0,2789.0,35444919,771874,45920629,South America
Netherlands,7910315,12387,22013,7,6551189.0,68297.0,1337113.0,135,459872.0,1280.0,21107399,1227093,17201142,Europe
Iran,7167646,1275,140315,38,6886942.0,4912.0,140389.0,1667,83469.0,1634.0,49358909,574798,85871730,Asia
Japan,6653841,47377,28248,48,6164792.0,42392.0,460801.0,518,52892.0,225.0,43717117,347514,125799722,Asia
Colombia,6085618,0,139650,0,5918689.0,0.0,27279.0,342,117413.0,2694.0,33952707,655069,51830751,South America
Indonesia,6019981,1933,155288,47,5768703.0,4067.0,95990.0,2771,21610.0,557.0,92326680,331421,278578611,Asia
Poland,5969621,557,115345,2,5333558.0,1381.0,520718.0,268,158035.0,3054.0,35732269,945945,37774158,Europe
Mexico,5665376,3303,323212,85,4963000.0,3035.0,379164.0,4798,43148.0,2462.0,15595137,118775,131300256,North America
Ukraine,4968881,0,107980,0,,,,177,114822.0,2495.0,19521252,451102,43274545,Europe
Australia,4680816,47538,6384,17,4170493.0,43676.0,503939.0,103,179914.0,245.0,66861156,2569907,26016959,Australia/Oceania
Malaysia,4234087,0,35069,0,3997786.0,0.0,201232.0,261,127954.0,1060.0,56587537,1710074,33090698,Asia
Israel,3943153,8670,10530,15,3846922.0,11118.0,85701.0,265,422813.0,1129.0,41373364,4436346,9326000,Asia
Austria,3887355,13907,15985,28,3572230.0,35038.0,299140.0,224,427359.0,1757.0,176843630,19441442,9096220,Europe
Belgium,3851048,0,30826,0,3540753.0,7738.0,279469.0,164,329776.0,2640.0,32872543,2814964,11677786,Europe
Czechia,3830621,2589,39715,7,3733697.0,8247.0,57209.0,92,356546.0,3697.0,54752294,5096219,10743708,Europe
South Africa,3722065,0,100046,0,3609277.0,0.0,12742.0,546,61405.0,1651.0,23893013,394173,60615489,Africa
Thailand,3711595,26840,25418,97,3427054.0,23412.0,259123.0,1496,52943.0,363.0,17270775,246352,70106124,Asia
Philippines,3679629,690,59343,19,3584319.0,1790.0,35967.0,289,32816.0,529.0,29006676,258688,112129883,Asia
Portugal,3604114,0,21693,0,,,,61,355269.0,2138.0,40088192,3951622,10144743,Europe
Peru,3548088,0,212299,0,,,,421,105052.0,6286.0,28860933,854519,33774490,South America
Canada,3499226,3077,37690,10,3295953.0,1851.0,165583.0,386,91315.0,984.0,59464465,1551765,38320532,North America
Switzerland,3490876,0,13715,0,2850404.0,0.0,626757.0,136,398263.0,1565.0,20324729,2318786,8765247,Europe
Chile,3486653,4478,56689,0,3090745.0,23080.0,339219.0,524,179697.0,2922.0,35713746,1840630,19403003,South America
Greece,3067354,0,27623,0,2784611.0,0.0,255120.0,357,296820.0,2673.0,74675362,7226133,10334069,Europe
Denmark,2919428,1955,5762,17,2855172.0,4713.0,58494.0,22,500944.0,989.0,126843098,21764972,5827855,Europe
Romania,2860094,1429,65090,11,2606660.0,0.0,188344.0,385,150425.0,3423.0,22164873,1165750,19013397,Europe
Sweden,2487852,0,18331,0,2437546.0,2127.0,31975.0,25,243684.0,1796.0,18417910,1804026,10209336,Europe
Iraq,2320260,134,25173,3,2284245.0,708.0,10842.0,45,55510.0,602.0,18354771,439118,41799153,Asia
Serbia,1980722,993,15825,7,1931773.0,2440.0,33124.0,30,228303.0,1824.0,9221892,1062937,8675857,Europe
Bangladesh,1951770,56,29122,0,1883510.0,596.0,39138.0,1283,11648.0,174.0,13844874,82628,167557022,Asia
Hungary,1854198,0,45510,0,1709370.0,0.0,99318.0,56,192795.0,4732.0,11127382,1156996,9617476,Europe
Slovakia,1725487,3258,19417,25,1615277.0,6809.0,90793.0,179,315777.0,3553.0,6908765,1264354,5464264,Europe
Jordan,1689314,0,14003,0,1668852.0,0.0,6459.0,276,162744.0,1349.0,16575546,1596848,10380165,Asia
Georgia,1649222,217,16756,5,1627958.0,592.0,4508.0,0,414817.0,4215.0,16444613,4136195,3975783,Asia
Pakistan,1525466,285,30361,1,1486113.0,117.0,8992.0,365,6679.0,133.0,27561228,120678,228385782,Asia
Ireland,1465150,0,6786,0,1304319.0,4043.0,154045.0,59,291040.0,1348.0,11833422,2350614,5034183,Europe
Norway,1408257,0,2518,0,,,,20,256264.0,458.0,11002430,2002141,5495333,Europe
Kazakhstan,1305188,18,13660,0,1289965.0,83.0,1563.0,528,68088.0,713.0,11575012,603833,19169220,Asia
Hong Kong,1171422,3709,8172,111,,,,115,154068.0,1075.0,44972952,5914934,7603289,Asia
Morocco,1163526,54,16060,0,1146704.0,38.0,762.0,293,30883.0,426.0,11237010,298261,37675147,Africa
Bulgaria,1140453,0,36565,0,926273.0,0.0,177615.0,205,166319.0,5332.0,9623228,1403411,6857028,Europe
Singapore,1106001,0,1272,0,1031320.0,0.0,73409.0,22,186486.0,214.0,23548306,3970537,5930761,Asia
Croatia,1102730,809,15601,9,1078183.0,1557.0,8946.0,38,271540.0,3842.0,4691685,1155297,4061020,Europe
Lebanon,1092807,0,10312,0,1064061.0,0.0,18434.0,186,161371.0,1523.0,4795578,708146,6772022,Asia
Cuba,1092547,695,8514,2,1080374.0,649.0,3659.0,23,96561.0,752.0,12920253,1141917,11314532,North America
Tunisia,1035884,0,28323,0,,,,42,86074.0,2353.0,4521880,375735,12034754,Africa
Lithuania,1030949,1475,8907,8,965326.0,1213.0,56716.0,56,388171.0,3354.0,8090105,3046072,2655914,Europe
Nepal,978475,23,11951,0,965625.0,66.0,899.0,100,32559.0,398.0,5556836,184905,30052434,Asia
Slovenia,973876,922,6501,3,930588.0,1516.0,36787.0,40,468336.0,3126.0,2618643,1259304,2079437,Europe
Belarus,965322,645,6844,8,928536.0,0.0,29942.0,0,102217.0,725.0,12891473,1365060,9443890,Europe
Bolivia,902448,132,21896,1,841533.0,1413.0,39019.0,220,75511.0,1832.0,2682016,224412,11951279,South America
UAE,892170,298,2302,0,869993.0,678.0,19875.0,0,88340.0,228.0,149003998,14753981,10099240,Asia
Finland,889626,0,3178,0,46000.0,0.0,840448.0,32,160127.0,572.0,10437451,1878670,5555765,Europe
Uruguay,889132,0,7162,0,876369.0,0.0,5601.0,38,254418.0,2049.0,6018261,1722075,3494773,South America
Ecuador,859890,0,35421,0,,,,759,47478.0,1956.0,2470170,136389,18111201,South America
Costa Rica,839368,0,8308,0,815710.0,0.0,15350.0,57,162184.0,1605.0,4053111,783146,5175420,North America
Guatemala,830745,0,17325,0,804950.0,0.0,8470.0,5,44918.0,937.0,4252266,229920,18494586,North America
Latvia,802534,533,5643,4,765542.0,1903.0,31349.0,24,433860.0,3051.0,7070181,3822226,1849755,Europe
Azerbaijan,792061,42,9697,0,782023.0,49.0,341.0,0,76907.0,942.0,6714357,651949,10298906,Asia
Panama,765054,0,8170,0,754470.0,0.0,2414.0,10,172564.0,1843.0,5714675,1288990,4433453,North America
Saudi Arabia,751076,78,9048,1,735105.0,285.0,6923.0,95,21003.0,253.0,41579921,1162708,35761263,Asia
New Zealand,693219,8845,350,20,597791.0,10664.0,95078.0,0,138586.0,70.0,6927999,1385018,5002100,Australia/Oceania
Sri Lanka,661991,106,16481,1,637292.0,16.0,8218.0,0,30690.0,764.0,6368159,295230,21570184,Asia
Paraguay,648353,0,18731,0,624673.0,0.0,4949.0,8,88990.0,2571.0,2601300,357044,7285653,South America
Kuwait,628978,0,2554,0,624538.0,0.0,1886.0,10,143572.0,583.0,7763313,1772068,4380935,Asia
Myanmar,611875,66,19433,1,589991.0,149.0,2451.0,0,11115.0,353.0,7693629,139764,55047345,Asia
Palestine,581075,0,5351,0,574674.0,0.0,1050.0,17,109460.0,1008.0,3078533,579919,5308558,Asia
Dominican Republic,578130,0,4375,0,573590.0,0.0,165.0,20,52376.0,396.0,3228620,292499,11038036,North America
Estonia,558706,453,2468,2,486425.0,1856.0,69813.0,9,420683.0,1858.0,3251959,2448591,1328094,Europe
Bahrain,555560,0,1471,0,547812.0,0.0,6277.0,4,307818.0,815.0,9616218,5328038,1804833,Asia
Venezuela,520708,0,5685,0,513432.0,0.0,1591.0,230,18403.0,201.0,3359014,118714,28295114,South America
Moldova,514199,185,11446,1,500082.0,266.0,2671.0,56,127987.0,2849.0,3163527,787422,4017576,Europe
Egypt,505264,0,24417,0,434503.0,0.0,46344.0,122,4780.0,231.0,3693367,34940,105706562,Africa
Libya,501738,0,6419,0,490052.0,0.0,5267.0,101,71325.0,912.0,2473358,351600,7034576,Africa
Ethiopia,469806,0,7504,0,445576.0,0.0,16726.0,16,3917.0,63.0,4669508,38933,119937343,Africa
Mongolia,468610,65,2177,0,313256.0,0.0,153177.0,192,139031.0,646.0,4030048,1195669,3370538,Asia
Cyprus,437111,0,945,0,124370.0,0.0,311796.0,60,357490.0,773.0,9477138,7750859,1222721,Asia
Armenia,422574,11,8617,1,410106.0,26.0,3851.0,0,142141.0,2898.0,2981215,1002789,2972924,Asia
Honduras,421062,0,10880,0,131100.0,0.0,279082.0,105,41362.0,1069.0,1263329,124101,10179868,North America
Oman,388468,36,4251,1,383246.0,307.0,971.0,14,72836.0,797.0,25000000,4687390,5333459,Asia
Bosnia and Herzegovina,375554,0,15718,0,192218.0,0.0,167618.0,0,115728.0,4844.0,1737191,535319,3245152,Europe
Qatar,361819,152,677,0,359958.0,117.0,1184.0,1,128862.0,241.0,3412599,1215397,2807805,Asia
Réunion,336945,0,709,0,322519.0,0.0,13717.0,10,371707.0,782.0,1603660,1769107,906480,Africa
Kenya,323450,0,5648,0,317671.0,0.0,131.0,1,5792.0,101.0,3524639,63120,55840320,Africa
Zambia,317031,0,3967,0,312363.0,0.0,701.0,0,16441.0,206.0,3362585,174380,19283070,Africa
North Macedonia,306670,196,9228,2,295457.0,23.0,1985.0,0,147209.0,4430.0,1960264,940976,2083224,Europe
Botswana,305526,0,2686,0,302476.0,0.0,364.0,1,125494.0,1103.0,2026898,832546,2434578,Africa
Albania,273823,0,3492,0,269828.0,0.0,503.0,13,95332.0,1216.0,1779844,619657,2872305,Europe
Algeria,265684,0,6874,0,178300.0,0.0,80510.0,6,5873.0,152.0,230861,5104,45234532,Africa
Nigeria,255468,0,3142,0,249612.0,0.0,2714.0,11,1188.0,15.0,4841764,22513,215063351,Africa
Zimbabwe,246481,0,5446,0,238581.0,0.0,2454.0,12,16172.0,357.0,2194976,144018,15241010,Africa
Uzbekistan,237853,25,1637,0,235674.0,29.0,542.0,23,6931.0,48.0,1377915,40153,34316830,Asia
Montenegro,233326,61,2705,0,230030.0,50.0,591.0,6,371417.0,4306.0,2425486,3860979,628205,Europe
Mozambique,225266,2,2200,0,222998.0,0.0,68.0,13,6871.0,67.0,1298341,39602,32784650,Africa
Luxembourg,216979,0,1037,0,196469.0,0.0,19473.0,3,337043.0,1611.0,4165411,6470310,643773,Europe
Kyrgyzstan,200968,13,2991,1,196243.0,10.0,1734.0,131,29940.0,446.0,1907195,284135,6712274,Asia
Laos,183560,1593,679,6,7660.0,0.0,175221.0,0,24606.0,91.0,1023002,137131,7460049,Asia
Iceland,181830,0,101,0,75685.0,0.0,106044.0,2,526869.0,293.0,1885540,5463528,345114,Europe
Afghanistan,177827,32,7671,0,161033.0,0.0,9123.0,1124,4395.0,190.0,923538,22826,40459785,Asia
Maldives,176993,0,298,0,163687.0,0.0,13008.0,25,317660.0,535.0,2213831,3973292,557178,Asia
Uganda,163932,0,3595,0,100181.0,0.0,60156.0,2,3397.0,74.0,2561534,53074,48263255,Africa
El Salvador,161052,0,4119,0,141145.0,0.0,15788.0,45,24613.0,629.0,1847861,282400,6543410,North America
Ghana,160971,0,1445,0,159468.0,0.0,58.0,1,4998.0,45.0,2419852,75137,32206036,Africa
Namibia,157646,0,4019,0,153069.0,0.0,558.0,3,60140.0,1533.0,983850,375329,2621303,Africa
Martinique,141415,0,909,0,104.0,0.0,140402.0,8,377352.0,2426.0,807954,2155947,374756,North America
Trinidad and Tobago,138159,0,3754,0,127251.0,0.0,7154.0,18,98165.0,2667.0,673866,478799,1407409,North America
Brunei,135974,544,213,0,131984.0,887.0,3777.0,0,305697.0,479.0,717784,1613723,444800,Asia
Cambodia,135747,33,3054,0,132068.0,128.0,625.0,0,7928.0,178.0,2930355,171133,17123309,Asia
Guadeloupe,130705,0,843,0,2250.0,0.0,127612.0,19,326563.0,2106.0,938039,2343668,400244,North America
Rwanda,129726,0,1458,0,45522.0,0.0,82746.0,1,9600.0,108.0,5119875,378885,13513001,Africa
Jamaica,128811,0,2893,0,81282.0,0.0,44636.0,0,43171.0,970.0,931763,312278,2983758,North America
Cameroon,119544,0,1927,0,117455.0,0.0,162.0,13,4316.0,70.0,1751774,63241,27699994,Africa
Angola,99194,0,1900,0,97149.0,0.0,145.0,0,2863.0,55.0,1499795,43282,34651406,Africa
DRC,86748,0,1337,0,50930.0,0.0,34481.0,0,920.0,14.0,846704,8977,94315871,Africa
Senegal,85919,8,1965,0,83914.0,4.0,40.0,0,4906.0,112.0,1048212,59848,17514541,Africa
Malawi,85657,0,2626,0,80666.0,0.0,2365.0,67,4284.0,131.0,562989,28159,19993298,Africa
Ivory Coast,81761,0,796,0,80924.0,0.0,41.0,0,2971.0,29.0,1474554,53583,27519163,Africa
Malta,81596,607,641,2,73649.0,190.0,7306.0,4,183941.0,1445.0,1814298,4089960,443598,Europe
Suriname,79229,0,1325,0,49383.0,0.0,28521.0,0,132975.0,2224.0,235427,395132,595819,South America
French Guiana,79075,0,394,0,11254.0,0.0,67427.0,4,253281.0,1262.0,609252,1951461,312203,South America
French Polynesia,72318,0,646,0,,,,7,254869.0,2277.0,0,0,283746,Australia/Oceania
Eswatini,69838,0,1394,0,68326.0,0.0,118.0,11,59127.0,1180.0,1002507,848749,1181158,Africa
Channel Islands,69036,0,156,0,64656.0,0.0,4224.0,0,390776.0,883.0,1244612,7045080,176664,Europe
Fiji,64417,0,834,0,62605.0,0.0,978.0,0,70960.0,919.0,505020,556313,907799,Australia/Oceania
Madagascar,64050,0,1388,0,59313.0,0.0,3349.0,22,2214.0,48.0,413244,14282,28934334,Africa
Guyana,63267,0,1226,0,61962.0,0.0,79.0,4,79763.0,1546.0,571320,720285,793186,South America
Sudan,61955,0,4907,0,,,,0,1358.0,108.0,562941,12335,45637581,Africa
New Caledonia,60294,0,311,0,59727.0,0.0,256.0,9,207699.0,1071.0,98964,340908,290295,Australia/Oceania
Barbados,59734,0,375,0,58084.0,0.0,1275.0,0,207417.0,1302.0,614361,2133272,287990,North America
Mauritania,58670,0,982,0,57680.0,0.0,8.0,0,12064.0,202.0,783143,161038,4863108,Africa
Belize,57289,0,656,0,56383.0,0.0,250.0,6,139648.0,1599.0,523303,1275602,410240,North America
Cabo Verde,55958,0,401,0,55493.0,0.0,64.0,23,98771.0,708.0,400982,707772,566541,Africa
Syria,55706,0,3144,0,51713.0,0.0,849.0,0,3054.0,172.0,146269,8018,18243216,Asia
Gabon,47586,0,303,0,47266.0,0.0,17.0,0,20534.0,131.0,1588772,685564,2317468,Africa
Papua New Guinea,42203,0,640,0,39905.0,0.0,1658.0,7,4566.0,69.0,249149,26955,9243127,Australia/Oceania
Curaçao,40671,0,267,0,39858.0,0.0,546.0,3,246094.0,1616.0,494095,2989695,165266,North America
Seychelles,40421,0,164,0,39790.0,0.0,467.0,0,406605.0,1650.0,0,0,99411,Africa
Andorra,40024,0,153,0,39283.0,0.0,588.0,14,516565.0,1975.0,249838,3224507,77481,Europe
Burundi,38519,0,38,0,773.0,0.0,37708.0,0,3079.0,3.0,345742,27639,12509183,Africa
Togo,36943,0,272,0,36591.0,0.0,80.0,0,4287.0,32.0,719140,83450,8617641,Africa
Mayotte,36891,0,187,0,2964.0,0.0,33740.0,0,129755.0,658.0,176919,622271,284312,Africa
Mauritius,36481,0,968,0,33927.0,0.0,1586.0,0,28602.0,759.0,358675,281213,1275457,Africa
Guinea,36459,0,440,0,35976.0,0.0,43.0,8,2651.0,32.0,660107,47991,13754904,Africa
Faeroe Islands,34237,0,28,0,7693.0,0.0,26516.0,5,696058.0,569.0,778000,15817187,49187,Europe
Aruba,34051,0,212,0,33752.0,0.0,87.0,3,316583.0,1971.0,177885,1653852,107558,North America
Tanzania,33815,0,800,0,,,,7,539.0,13.0,0,0,62705430,Africa
Bahamas,33295,0,788,0,32202.0,0.0,305.0,11,83277.0,1971.0,226807,567286,399811,North America
Lesotho,32910,0,697,0,24155.0,0.0,8058.0,0,15152.0,321.0,431221,198543,2171931,Africa
Bhutan,31437,1384,12,0,25074.0,328.0,6351.0,7,39973.0,15.0,2117936,2693009,786457,Asia
Haiti,30549,0,833,0,28645.0,0.0,1071.0,0,2623.0,72.0,132422,11371,11645453,North America
Mali,30493,0,728,0,29639.0,0.0,126.0,0,1434.0,34.0,651510,30631,21269406,Africa
Isle of Man,28416,0,84,0,26794.0,0.0,1538.0,0,331115.0,979.0,150753,1756639,85819,Europe
Benin,26952,0,163,0,25506.0,0.0,1283.0,5,2126.0,13.0,604310,47667,12677778,Africa
Somalia,26400,0,1348,0,13182.0,0.0,11870.0,0,1584.0,81.0,400466,24027,16667565,Africa
Taiwan,24312,280,853,0,20510.0,75.0,2949.0,0,1018.0,36.0,12881839,539167,23892124,Asia
Congo,24071,0,385,0,20178.0,0.0,3508.0,0,4182.0,67.0,347815,60434,5755317,Africa
Saint Lucia,22959,0,365,0,22567.0,0.0,27.0,0,124040.0,1972.0,140589,759555,185094,North America
Timor-Leste,22832,0,130,0,22688.0,0.0,14.0,0,16760.0,95.0,257402,188944,1362317,Asia
Burkina Faso,20853,0,382,0,20439.0,0.0,32.0,0,952.0,17.0,248995,11367,21904276,Africa
Cayman Islands,20606,0,24,0,8553.0,0.0,12029.0,1,307227.0,358.0,222773,3321450,67071,North America
Nicaragua,18434,0,224,0,4225.0,0.0,13985.0,0,2726.0,33.0,0,0,6762296,North America
Tajikistan,17388,0,124,0,17264.0,0.0,0.0,0,1754.0,13.0,0,0,9911851,Asia
South Sudan,17278,0,138,0,13514.0,0.0,3626.0,1,1513.0,12.0,361644,31659,11423081,Africa
Gibraltar,16979,0,101,0,16359.0,0.0,519.0,3,504232.0,2999.0,533498,15843495,33673,Europe
Liechtenstein,16429,0,84,0,16199.0,0.0,146.0,4,428743.0,2192.0,80413,2098515,38319,Europe
Equatorial Guinea,15903,0,183,0,15693.0,0.0,27.0,5,10720.0,123.0,301203,203041,1483461,Africa
Djibouti,15588,0,189,0,15391.0,0.0,8.0,0,15386.0,187.0,298521,294659,1013107,Africa
San Marino,15181,0,113,0,14740.0,0.0,328.0,4,445766.0,3318.0,144139,4232411,34056,Europe
CAR,14649,0,113,0,6859.0,0.0,7677.0,2,2944.0,23.0,81294,16336,4976489,Africa
Grenada,14012,0,218,0,13735.0,0.0,59.0,4,123526.0,1922.0,143760,1267345,113434,North America
Bermuda,12564,0,128,0,12198.0,0.0,238.0,0,203051.0,2069.0,841380,13597841,61876,North America
Gambia,11988,0,365,0,11591.0,0.0,32.0,0,4729.0,144.0,155686,61409,2535232,Africa
Greenland,11971,0,21,0,2761.0,0.0,9189.0,4,210231.0,369.0,164926,2896386,56942,North America
Dominica,11891,0,63,0,11683.0,0.0,145.0,0,164472.0,871.0,184859,2556903,72298,North America
Yemen,11806,0,2143,0,8999.0,0.0,664.0,23,381.0,69.0,265253,8564,30973459,Asia
Solomon Islands,11470,0,133,0,9700.0,0.0,1637.0,1,16013.0,186.0,5117,7144,716305,Australia/Oceania
Monaco,10838,0,54,0,10571.0,0.0,213.0,4,272805.0,1359.0,54960,1383407,39728,Europe
Saint Martin,10107,0,63,0,1399.0,0.0,8645.0,7,253830.0,1582.0,112382,2822392,39818,North America
Sint Maarten,9758,0,86,0,9595.0,0.0,77.0,10,223157.0,1967.0,62056,1419169,43727,North America
Eritrea,9728,0,103,0,9623.0,0.0,2.0,0,2678.0,28.0,23693,6523,3632195,Africa
Niger,8810,0,308,0,8484.0,0.0,18.0,1,342.0,12.0,240394,9341,25736305,Africa
Caribbean Netherlands,8574,0,33,0,8160.0,0.0,381.0,0,321738.0,1238.0,30126,1130474,26649,North America
Guinea-Bissau,8151,0,170,0,7146.0,0.0,835.0,6,3978.0,83.0,129753,63317,2049247,Africa
Comoros,8093,4,160,0,7921.0,0.0,12.0,0,8973.0,177.0,0,0,901961,Africa
Sierra Leone,7674,0,125,0,,,,0,929.0,15.0,259958,31470,8260378,Africa
Antigua and Barbuda,7493,0,135,0,7350.0,0.0,8.0,1,75423.0,1359.0,18901,190254,99346,North America
Liberia,7400,0,294,0,5747.0,0.0,1359.0,2,1405.0,56.0,139824,26556,5265321,Africa
Chad,7308,0,191,0,4874.0,0.0,2243.0,0,424.0,11.0,191341,11093,17248953,Africa
Tonga,7127,131,9,0,4550.0,373.0,2568.0,0,66120.0,83.0,204783,1899851,107789,Australia/Oceania
St. Vincent Grenadines,6746,0,106,0,6638.0,0.0,2.0,0,60472.0,950.0,98571,883601,111556,North America
British Virgin Islands,6155,0,62,0,,,,1,201256.0,2027.0,102012,3335579,30583,North America
Sao Tome and Principe,5945,0,73,0,5867.0,0.0,5.0,0,26274.0,323.0,29036,128325,226269,Africa
Turks and Caicos,5910,0,36,0,5838.0,0.0,36.0,4,149122.0,908.0,436234,11007115,39632,North America
Saint Kitts and Nevis,5549,0,43,0,5506.0,0.0,0.0,0,103032.0,798.0,65141,1209518,53857,North America
Vanuatu,4237,326,2,0,1647.0,46.0,2588.0,18,13254.0,6.0,24976,78128,319682,Australia/Oceania
St. Barth,4150,0,6,0,,,,0,417925.0,604.0,78646,7920040,9930,North America
Palau,4042,0,6,0,3721.0,0.0,315.0,0,221540.0,329.0,41052,2250041,18245,Australia/Oceania
Kiribati,3067,1,13,0,2585.0,7.0,469.0,9,25006.0,106.0,0,0,122651,Australia/Oceania
Anguilla,2700,0,9,0,2676.0,0.0,15.0,4,177200.0,591.0,51382,3372186,15237,North America
Samoa,2331,0,1,0,761.0,0.0,1569.0,0,11613.0,5.0,0,0,200718,Australia/Oceania
Cook Islands,2118,0,0,0,1396.0,0.0,722.0,0,120396.0,0.0,9860,560482,17592,Australia/Oceania
Saint Pierre Miquelon,1957,0,1,0,1728.0,0.0,228.0,1,340644.0,174.0,17516,3048912,5745,North America
Diamond Princess,712,0,13,0,699.0,0.0,0.0,0,0.0,0.0,0,0,,
Wallis and Futuna,454,0,7,0,438.0,0.0,9.0,0,41670.0,642.0,20508,1882331,10895,Australia/Oceania
Montserrat,175,0,2,0,173.0,0.0,0.0,0,35021.0,400.0,8796,1760256,4997,North America
Falkland Islands,123,0,0,0,,,,0,33634.0,0.0,8632,2360405,3657,South America
Macao,82,0,0,0,82.0,0.0,0.0,0,123.0,0.0,5375,8085,664803,Asia
Vatican City,29,0,0,0,28.0,0.0,1.0,0,36025.0,0.0,0,0,805,Europe
Western Sahara,10,0,1,0,8.0,0.0,1.0,0,16.0,2.0,0,0,622991,Africa
MS Zaandam,9,0,2,0,7.0,0.0,0.0,0,0.0,0.0,0,0,,
Marshall Islands,7,0,0,0,7.0,0.0,0.0,0,117.0,0.0,0,0,59888,Australia/Oceania
Niue,7,0,0,0,1.0,0.0,6.0,0,4255.0,0.0,0,0,1645,Australia/Oceania
Saint Helena,2,0,0,0,2.0,0.0,0.0,0,327.0,0.0,0,0,6109,Africa
Micronesia,1,0,0,0,1.0,0.0,0.0,0,9.0,0.0,0,0,117130,Australia/Oceania
China,154738,1506,4638,0,123933.0,2467.0,26167.0,57,108.0,3.0,160000000,111163,1439323776,Asia
Total:,491255908,522784,6175358,1440,426134284.0,510572.0,58946266.0,56056,63023.6,792.2,0,0,,All
